Investors,Primary Contact,Description,Geography,Preferred Industry,Preferred Investment Type,Primary Investor Type,geography_tags,preferred_investment_type_tags,preferred_industry_tags
Warburg Pincus,Mark M. Colodny,"Founded in 1966, Warburg Pincus is a private equity investment firm based in New York, New York. The firm prefers to invest in consumer, energy transition &amp; sustainability, financial services, healthcare, industrial &amp; business services, real estate, and technology sector companies based in America, Europe, China, Southeast Asia, and India. This firm is a Registered Investment Adviser (RIA). ","Brazil, Canada, China, Europe, Hong Kong, India, Middle East, Southeast Asia, Taiwan, United States","Buildings and Property, Capital Markets/Institutions, Commercial Banks, Communications and Networking, Consumer Durables, Energy Equipment, Energy Services, Exploration, Production and Refining, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Industrial Supplies and Parts, Insurance, Media, Media and Information Services (B2B), Other Business Products and Services, Other Commercial Products, Other Commercial Services, Other Consumer Products and Services, Other Energy, Other Financial Services, Other Healthcare, Other Information Technology, Other Services (B2C Non-Financial), Pharmaceuticals and Biotechnology, Real Estate Services (B2C), Software, Transportation, Utilities","Buyout/LBO, Early Stage VC, GP Stakes, Later Stage VC, PE Growth/Expansion, Seed Round",PE/Buyout,"['brazil' 'canada' 'china' 'europe' 'hong kong' 'india' 'middle east'
 'southeast asia' 'taiwan' 'united states']","['buyout/lbo' 'early stage vc' 'gp stakes' 'later stage vc'
 'pe growth/expansion' 'seed round']","['buildings and property' 'capital markets/institutions'
 'commercial banks' 'communications and networking' 'consumer durables'
 'energy equipment' 'energy services' 'exploration'
 'production and refining' 'healthcare devices and supplies'
 'healthcare services' 'healthcare technology systems'
 'industrial supplies and parts' 'insurance' 'media'
 'media and information services (b2b)'
 'other business products and services' 'other commercial products'
 'other commercial services' 'other consumer products and services'
 'other energy' 'other financial services' 'other healthcare'
 'other information technology' 'other services (b2c non-financial)'
 'pharmaceuticals and biotechnology' 'real estate services (b2c)'
 'software' 'transportation' 'utilities']"
Accel,Ryan Sweeney,"Founded in 1983, Accel is a venture capital firm based in Palo Alto, California. The firm prefers to invest in early-stage companies operating in the cloud, software as a service (SaaS), consumer, enterprise, information technology, healthcare, fintech, security, media, and business products &amp; services sectors. The firm has additional offices in San Francisco, London, and Banglore. ",,"Commercial Products, Commercial Services, Communications and Networking, Computer Hardware, Consumer Durables, Consumer Non-Durables, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Network Management Software, Other Business Products and Services, Other Consumer Products and Services, Other Financial Services, Other Healthcare, Other Information Technology, Other Software, Pharmaceuticals and Biotechnology, Services (Non-Financial)","Early Stage VC, Seed Round",Venture Capital,[''],['early stage vc' 'seed round'],"['commercial products' 'commercial services'
 'communications and networking' 'computer hardware' 'consumer durables'
 'consumer non-durables' 'healthcare devices and supplies'
 'healthcare services' 'healthcare technology systems'
 'network management software' 'other business products and services'
 'other consumer products and services' 'other financial services'
 'other healthcare' 'other information technology' 'other software'
 'pharmaceuticals and biotechnology' 'services (non-financial)']"
Mubadala Investment Company,Khaldoon Khalifa Al Mubarak,"Founded in 22, Mubadala Investment Company is a sovereign wealth fund based in Abu Dhabi, United Arab Emirates. The firm prefers to invest in early and growth-stage companies, real estate, and infrastructure assets. The firm seeks to invest in energy, metals, aerospace, technology, healthcare, real estate, and infrastructure sectors. ",United Arab Emirates,"Aerospace and Defense, Chemicals and Gases, Energy, Financial Services, Healthcare, Metals, Minerals and Mining, Other Business Products and Services, Other Information Technology, Real Estate Services (B2C), Semiconductors, Software","Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Sovereign Wealth Fund,['united arab emirates'],"['buyout/lbo' 'early stage vc' 'later stage vc' 'pe growth/expansion'
 'seed round']","['aerospace and defense' 'chemicals and gases' 'energy'
 'financial services' 'healthcare' 'metals' 'minerals and mining'
 'other business products and services' 'other information technology'
 'real estate services (b2c)' 'semiconductors' 'software']"
TPG (NAS: TPG),Jack Weingart,"Founded in 1992, TPG is an asset manager firm based in Fort Worth, Texas. The firm provides growth capital and prefers to invest in companies operating in the consumer, healthcare, business services, internet, digital media &amp; communications, software, and enterprise technology sectors. The firm also makes impact and real estate investments. This firm is a Registered Investment Adviser (RIA). ","Asia, Europe, Middle East, North America, United States","Apparel and Accessories, Capital Markets/Institutions, Chemicals and Gases, Commercial Banks, Commercial Products, Commercial Services, Consumer Non-Durables, Energy Production, Healthcare Services, Healthcare Technology Systems, Insurance, Internet Service Providers, IT Services, Media, Metals, Minerals and Mining, Other Business Products and Services, Other Energy, Other Financial Services, Pharmaceuticals and Biotechnology, Restaurants, Hotels and Leisure, Retail, Software, Transportation","Buyout/LBO, GP Stakes, Later Stage VC, PE Growth/Expansion",Asset Manager,['asia' 'europe' 'middle east' 'north america' 'united states'],['buyout/lbo' 'gp stakes' 'later stage vc' 'pe growth/expansion'],"['apparel and accessories' 'capital markets/institutions'
 'chemicals and gases' 'commercial banks' 'commercial products'
 'commercial services' 'consumer non-durables' 'energy production'
 'healthcare services' 'healthcare technology systems' 'insurance'
 'internet service providers' 'it services' 'media' 'metals'
 'minerals and mining' 'other business products and services'
 'other energy' 'other financial services'
 'pharmaceuticals and biotechnology' 'restaurants' 'hotels and leisure'
 'retail' 'software' 'transportation']"
Bain Capital,Charles Megaw,"Founded in 1984, Bain Capital is a private equity investment firm based in Boston, Massachusetts. The firm invests in B2B, B2C, retail, non-financial services, transportation, energy, healthcare, information technology, SaaS, manufacturing, life science, cybersecurity, financial technology, health technology &amp; industrial sectors. This firm is a Registered Investment Adviser (RIA). ","Andorra, Asia, Austria, Belgium, Czech Republic, France, Germany, Hungary, Ireland, Liechtenstein, Luxembourg, Middle East, Monaco, Netherlands, North America, Northern Europe, Poland, Slovakia, Slovenia, Switzerland, United Kingdom, United States","Apparel and Accessories, Commercial Services, Consumer Durables, Consumer Non-Durables, Energy, Healthcare Services, Healthcare Technology Systems, IT Services, Pharmaceuticals and Biotechnology, Retail, Services (Non-Financial), Software, Transportation","Add-on, Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, PIPE, Seed Round",PE/Buyout,"['andorra' 'asia' 'austria' 'belgium' 'czech republic' 'france' 'germany'
 'hungary' 'ireland' 'liechtenstein' 'luxembourg' 'middle east' 'monaco'
 'netherlands' 'north america' 'northern europe' 'poland' 'slovakia'
 'slovenia' 'switzerland' 'united kingdom' 'united states']","['add-on' 'buyout/lbo' 'early stage vc' 'later stage vc'
 'pe growth/expansion' 'pipe' 'seed round']","['apparel and accessories' 'commercial services' 'consumer durables'
 'consumer non-durables' 'energy' 'healthcare services'
 'healthcare technology systems' 'it services'
 'pharmaceuticals and biotechnology' 'retail' 'services (non-financial)'
 'software' 'transportation']"
Calm Ventures,Zachary Ginsburg,"Founded in 22, Calm Ventures is a venture capital investment firm based in Los Angeles, California. The firm seeks to invest in technology companies. ",,"Consumer Durables, Other Consumer Products and Services, Other Information Technology, Software","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,[''],['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['consumer durables' 'other consumer products and services'
 'other information technology' 'software']"
SFC Capital,Stephen Roy Page,"Founded in 212, SFC Capital is a venture capital firm based in London, United Kingdom. The firm seeks to invest in seed-stage, early-stage, later-stage, and growth-stage companies. The firm prefers to invest in any sector. ",United Kingdom,"Beverages, Commercial Products, Food Products, Healthcare, Media, Media and Information Services (B2B), Other Business Products and Services, Services (Non-Financial), Software, Wireless Service Providers","Early Stage VC, Later Stage VC",Venture Capital,['united kingdom'],['early stage vc' 'later stage vc'],"['beverages' 'commercial products' 'food products' 'healthcare' 'media'
 'media and information services (b2b)'
 'other business products and services' 'services (non-financial)'
 'software' 'wireless service providers']"
Ardian,Dominique Senequier,"Founded in 1996, Ardian is a private equity investment firm based in Paris, France. The firm seeks to invest in Europe and North America-based companies operating in the food value chain, food &amp; beverage, ingredients, agribusinesses, food safety, healthcare, life science services, pharmaceuticals, MedTech, technology, industrial technologies, software, e-businesses, media &amp; telecom, logistics &amp; automation, insurance services, and engineering sectors. ","North America, Northern Europe, Southern Europe, Western Europe","Agriculture, Beverages, Food Products, Insurance, Logistics, Media, Pharmaceuticals, Software, Telecommunications Service Providers","Buyout/LBO, Debt - General, Later Stage VC, Mezzanine, PE Growth/Expansion",PE/Buyout,['north america' 'northern europe' 'southern europe' 'western europe'],"['buyout/lbo' 'debt - general' 'later stage vc' 'mezzanine'
 'pe growth/expansion']","['agriculture' 'beverages' 'food products' 'insurance' 'logistics' 'media'
 'pharmaceuticals' 'software' 'telecommunications service providers']"
National Science Foundation,Ben Schrag,"Founded in 195, National Science Foundation is a government organization based in Alexandria, Virginia. The organization runs America's Seed Fund SBIR/STTR Program which helps startups and small businesses through grants and seed funding. ",United States,"Biotechnology, Business Products and Services (B2B), Chemicals and Gases, Computer Hardware, Educational Software, Other Information Technology, Other Materials","Grant, Seed Round",Government,['united states'],['grant' 'seed round'],"['biotechnology' 'business products and services (b2b)'
 'chemicals and gases' 'computer hardware' 'educational software'
 'other information technology' 'other materials']"
BlackRock (NYS: BLK),Laurence D. Fink,"Founded in 1988, BlackRock is an asset manager based in New York, New York. The firm seeks to invest in B2C, energy, information technology, energy, financial services, healthcare, transportation, agriculture, insurance, clean technology, manufacturing, life science, big data, industrial, infrastructure, insurance technology &amp; e-commerce sectors based in the Mid Atlantic, Southeast, Midwest, West Coast &amp; Northeast of the United States region. This firm is a Registered Investment Adviser (RIA). ","Mid Atlantic, Midwest, Northeast, Southeast, West Coast","Agriculture, Capital Markets/Institutions, Commercial Services, Commercial Transportation, Communications and Networking, Consumer Non-Durables, Energy Services, Exploration, Production and Refining, Insurance, Media, Other Business Products and Services, Other Energy, Other Financial Services, Pharmaceuticals and Biotechnology, Restaurants, Hotels and Leisure, Software, Transportation","Buyout/LBO, PE Growth/Expansion, Secondary Transaction - Private",Asset Manager,['mid atlantic' 'midwest' 'northeast' 'southeast' 'west coast'],['buyout/lbo' 'pe growth/expansion' 'secondary transaction - private'],"['agriculture' 'capital markets/institutions' 'commercial services'
 'commercial transportation' 'communications and networking'
 'consumer non-durables' 'energy services' 'exploration'
 'production and refining' 'insurance' 'media'
 'other business products and services' 'other energy'
 'other financial services' 'pharmaceuticals and biotechnology'
 'restaurants' 'hotels and leisure' 'software' 'transportation']"
Mana Ventures,Morgan Schwanke,"founded in 216, Mana Ventures is a venture capital firm based in South San Francisco, California. The firm seeks to invest in Artificial Intelligence and deep tech companies ",,"Beverages, Entertainment Software, Food Products, Movies, Music and Entertainment, Other Consumer Products and Services, Other Information Technology, Other Media, Other Software","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,[''],['early stage vc' 'later stage vc' 'seed round'],"['beverages' 'entertainment software' 'food products' 'movies'
 'music and entertainment' 'other consumer products and services'
 'other information technology' 'other media' 'other software']"
Hg,Sanjukta Sengupta,"Founded in 199, Hg is a private equity firm based in London, United Kingdom. The firm seeks to invest in automation &amp; engineering, ERP &amp; payroll, healthcare, insurance, legal &amp; regulatory, tech services, tax &amp; accounting, and fintech sectors. ","North America, Northern Europe","Accounting, Audit and Tax Services (B2B), Automotive, Capital Markets/Institutions, Healthcare, Insurance, IT Services, Legal Services (B2B), Legal Services (B2C), Software","Buyout/LBO, PE Growth/Expansion",PE/Buyout,['north america' 'northern europe'],['buyout/lbo' 'pe growth/expansion'],"['accounting' 'audit and tax services (b2b)' 'automotive'
 'capital markets/institutions' 'healthcare' 'insurance' 'it services'
 'legal services (b2b)' 'legal services (b2c)' 'software']"
Insight Partners,Jeffrey Horing,"Founded in 1995, Insight Partners is a growth &amp; expansion firm based in New York, New York. The firm seeks to invest in B2B, B2C, logistics, government tech, internet retail services, financial services, artificial intelligence &amp; machine learning, DevOps, edtech, information technology, life science, GTM tech, cybersecurity, e-commerce, construction technology, financial technology, gaming, health technology, property technology, and legal technology sectors. This firm is a Registered Investment Adviser (RIA). ","Eastern Europe, Middle East, North America, Oceania, South America, Western Europe","Buildings and Property, Capital Markets/Institutions, Commercial Banks, Communications and Networking, Computer Hardware, Education and Training Services (B2B), Educational Software, Entertainment Software, Financial Software, Government, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Human Capital Services, Insurance, Internet Retail, Internet Software, IT Services, Legal Services (B2B), Logistics, Other Information Technology, Other Software, Pharmaceuticals and Biotechnology, Security Services (B2B)","Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, Recapitalization",Growth/Expansion,"['eastern europe' 'middle east' 'north america' 'oceania' 'south america'
 'western europe']","['buyout/lbo' 'early stage vc' 'later stage vc' 'pe growth/expansion'
 'recapitalization']","['buildings and property' 'capital markets/institutions'
 'commercial banks' 'communications and networking' 'computer hardware'
 'education and training services (b2b)' 'educational software'
 'entertainment software' 'financial software' 'government'
 'healthcare devices and supplies' 'healthcare services'
 'healthcare technology systems' 'human capital services' 'insurance'
 'internet retail' 'internet software' 'it services'
 'legal services (b2b)' 'logistics' 'other information technology'
 'other software' 'pharmaceuticals and biotechnology'
 'security services (b2b)']"
Mitsubishi UFJ Capital,Tetsuo Mitsuyasu,"Founded in 1974, Mitsubishi UFJ Capital is a venture capital firm based in Tokyo, Japan. The firm invests in companies operating in the information technology, SaaS, life science, artificial technology, electronics, biotech, fintech, and healthcare sectors. ","Mid Atlantic, Northeast","Healthcare, Software","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,['mid atlantic' 'northeast'],['early stage vc' 'later stage vc' 'seed round'],['healthcare' 'software']
Shore Capital Partners,Brian Tracy,"Founded in 29, Shore Capital Partners is a private equity investment firm based in Chicago, Illinois. The firm prefers to invest in companies operating in the healthcare, food &amp; beverage, business services, and real estate sectors in the United States. This firm is a Registered Investment Adviser (RIA). ",United States,"Beverages, BPO/Outsource Services, Business Equipment and Supplies, Clinics/Outpatient Services, Construction and Engineering, Diagnostic Equipment, Elder and Disabled Care, Enterprise Systems (Healthcare), Environmental Services (B2B), Food Products, Human Capital Services, IT Services, Laboratory Services (Healthcare), Logistics, Medical Supplies, Other Business Products and Services, Other Commercial Services, Other Consumer Non-Durables, Other Containers and Packaging, Other Devices and Supplies, Other Healthcare Services, Other Healthcare Technology Systems, Paper Containers and Packaging, Plastic Containers and Packaging, Practice Management (Healthcare), Services (Non-Financial), Therapeutic Devices","Add-on, Buyout/LBO, Corporate Divestiture, Management Buyout, Merger/Acquisition, PE Growth/Expansion",PE/Buyout,['united states'],"['add-on' 'buyout/lbo' 'corporate divestiture' 'management buyout'
 'merger/acquisition' 'pe growth/expansion']","['beverages' 'bpo/outsource services' 'business equipment and supplies'
 'clinics/outpatient services' 'construction and engineering'
 'diagnostic equipment' 'elder and disabled care'
 'enterprise systems (healthcare)' 'environmental services (b2b)'
 'food products' 'human capital services' 'it services'
 'laboratory services (healthcare)' 'logistics' 'medical supplies'
 'other business products and services' 'other commercial services'
 'other consumer non-durables' 'other containers and packaging'
 'other devices and supplies' 'other healthcare services'
 'other healthcare technology systems' 'paper containers and packaging'
 'plastic containers and packaging' 'practice management (healthcare)'
 'services (non-financial)' 'therapeutic devices']"
Partners Group (SWX: PGHN),Marcel Erni,"Founded in 1996, Partners Group is a private equity firm based in Zug, Switzerland. The firm specializes in private equity, infrastructure, real estate, private credit, and royalties investments. ","Americas, Asia, United States","Capital Markets/Institutions, Commercial Banks, Commercial Products, Commercial Services, Commercial Transportation, Communications and Networking, Computer Hardware, Consumer Durables, Energy Equipment, Energy Services, Exploration, Production and Refining, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Insurance, IT Services, Other Business Products and Services, Other Energy, Other Financial Services, Other Healthcare, Other Information Technology, Other Services (B2C Non-Financial), Pharmaceuticals and Biotechnology, Real Estate Services (B2C), Retail, Semiconductors, Software, Utilities","Buyout/LBO, Debt - General, PE Growth/Expansion",PE/Buyout,['americas' 'asia' 'united states'],['buyout/lbo' 'debt - general' 'pe growth/expansion'],"['capital markets/institutions' 'commercial banks' 'commercial products'
 'commercial services' 'commercial transportation'
 'communications and networking' 'computer hardware' 'consumer durables'
 'energy equipment' 'energy services' 'exploration'
 'production and refining' 'healthcare devices and supplies'
 'healthcare services' 'healthcare technology systems' 'insurance'
 'it services' 'other business products and services' 'other energy'
 'other financial services' 'other healthcare'
 'other information technology' 'other services (b2c non-financial)'
 'pharmaceuticals and biotechnology' 'real estate services (b2c)' 'retail'
 'semiconductors' 'software' 'utilities']"
Kima Ventures,Jean Charles Marie De La Rochebrochard,"Founded in 21, Kima Ventures is a venture capital firm based in Paris, France. The firm seeks to invest in companies operating in the hardware, robotics, e-commerce, SaaS, marketplace, marketing, ad tech, big data, sharing economy, entertainment, finance, education, media, mobile, security, social, travel, tourism, health, retail, industry, API, food, agrotech, lifestyle, cleantech, and gaming sectors. ",,"Aerospace and Defense, Apparel and Accessories, Application Software, Automation/Workflow Software, Beverages, BPO/Outsource Services, Business Equipment and Supplies, Business/Productivity Software, Casinos and Gaming, Communication Software, Connectivity Products, Consulting Services (B2B), Database Software, Education and Training Services (B2B), Educational and Training Services (B2C), Educational Software, Electronic Components, Electronic Equipment and Instruments, Electronics (B2C), Entertainment Software, Environmental Services (B2B), Fiberoptic Equipment, Financial Software, Food Products, Hotels and Resorts, Household Appliances, Human Capital Services, Internet Retail, Internet Software, IT Services, Legal Services (B2B), Leisure Facilities, Logistics, Managed Care, Media, Media and Information Services (B2B), Medical Records Systems, Medical Supplies, Monitoring Equipment, Multimedia and Design Software, Network Management Software, Office Services (B2B), Other Business Products and Services, Other Capital Markets/Institutions, Other Chemicals and Gases, Other Commercial Products, Other Commercial Services, Other Communications and Networking, Other Consumer Products and Services, Other Containers and Packaging, Other Devices and Supplies, Other Energy Services, Other Financial Services, Other Hardware, Other Healthcare, Other Healthcare Technology Systems, Other Information Technology, Other Restaurants, Hotels and Leisure, Other Retail, Other Services (B2C Non-Financial), Other Software, Other Transportation, Personal Products, Real Estate Services (B2C), Restaurants and Bars, Security Services (B2B), Social/Platform Software, Software Development Applications, Specialized Finance, Specialty Retail, Telecommunications Service Providers, Transportation, Vertical Market Software, Wireless Communications Equipment, Wireless Service Providers","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,[''],['early stage vc' 'later stage vc' 'seed round'],"['aerospace and defense' 'apparel and accessories' 'application software'
 'automation/workflow software' 'beverages' 'bpo/outsource services'
 'business equipment and supplies' 'business/productivity software'
 'casinos and gaming' 'communication software' 'connectivity products'
 'consulting services (b2b)' 'database software'
 'education and training services (b2b)'
 'educational and training services (b2c)' 'educational software'
 'electronic components' 'electronic equipment and instruments'
 'electronics (b2c)' 'entertainment software'
 'environmental services (b2b)' 'fiberoptic equipment'
 'financial software' 'food products' 'hotels and resorts'
 'household appliances' 'human capital services' 'internet retail'
 'internet software' 'it services' 'legal services (b2b)'
 'leisure facilities' 'logistics' 'managed care' 'media'
 'media and information services (b2b)' 'medical records systems'
 'medical supplies' 'monitoring equipment'
 'multimedia and design software' 'network management software'
 'office services (b2b)' 'other business products and services'
 'other capital markets/institutions' 'other chemicals and gases'
 'other commercial products' 'other commercial services'
 'other communications and networking'
 'other consumer products and services' 'other containers and packaging'
 'other devices and supplies' 'other energy services'
 'other financial services' 'other hardware' 'other healthcare'
 'other healthcare technology systems' 'other information technology'
 'other restaurants' 'hotels and leisure' 'other retail'
 'other services (b2c non-financial)' 'other software'
 'other transportation' 'personal products' 'real estate services (b2c)'
 'restaurants and bars' 'security services (b2b)'
 'social/platform software' 'software development applications'
 'specialized finance' 'specialty retail'
 'telecommunications service providers' 'transportation'
 'vertical market software' 'wireless communications equipment'
 'wireless service providers']"
Silver Lake,Joseph H. Osnoss,"Founded in 1999, Silver Lake is a private equity firm based in Menlo Park, California. The firm prefers to invest in companies operating in technology sectors. This firm is a Registered Investment Adviser (RIA). ","Canada, East Asia, North America, United States, Western Europe","Commercial Services, Computer Hardware, Media, Other Consumer Products and Services, Software","Buyout/LBO, Debt - General, PE Growth/Expansion, PIPE, Recapitalization",PE/Buyout,['canada' 'east asia' 'north america' 'united states' 'western europe'],"['buyout/lbo' 'debt - general' 'pe growth/expansion' 'pipe'
 'recapitalization']","['commercial services' 'computer hardware' 'media'
 'other consumer products and services' 'software']"
Impact Assets,Margret Trilli,"Founded in 21, ImpactAssets is a full-service, customized impact investing firm for individuals, families, and foundations focused on increasing the flow of capital into investments and delivering financial, social, and environmental returns. The firm is based in Bethesda, Maryland. ",,0,"Early Stage VC, Later Stage VC, Seed Round",Impact Investing,[''],['early stage vc' 'later stage vc' 'seed round'],['0']
Lightspeed Venture Partners,Michael Romano,"Founded in 2, Lightspeed Venture Partners is a venture capital firm based in Menlo Park, California. The firm seeks to invest in the enterprise, health, fintech, and consumer sectors. This firm is a Registered Investment Adviser (RIA). ","China, Europe, India, Israel, Singapore, United States","Apparel and Accessories, Communications and Networking, Consumer Durables, Consumer Non-Durables, Educational Software, Energy, Entertainment Software, Healthcare, IT Services, Media, Media and Information Services (B2B), Network Management Software, Other Financial Services, Other Information Technology, Retail, Social/Platform Software, Storage (IT)","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,['china' 'europe' 'india' 'israel' 'singapore' 'united states'],['early stage vc' 'later stage vc' 'seed round'],"['apparel and accessories' 'communications and networking'
 'consumer durables' 'consumer non-durables' 'educational software'
 'energy' 'entertainment software' 'healthcare' 'it services' 'media'
 'media and information services (b2b)' 'network management software'
 'other financial services' 'other information technology' 'retail'
 'social/platform software' 'storage (it)']"
Tech Nation Group,Gerard Grech,"Founded in 211, Tech Nation is an accelerator &amp; incubator firm based in London, United Kingdom. The firm seeks to incubate companies operating in artificial intelligence, cyber, fintech, climate, digital, infrastructure, and international development sectors. ",United Kingdom,"Aerospace and Defense, Biotechnology, Construction and Engineering, Education and Training Services (B2B), Financial Services, Software","Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Accelerator/Incubator,['united kingdom'],['accelerator/incubator' 'early stage vc' 'later stage vc' 'seed round'],"['aerospace and defense' 'biotechnology' 'construction and engineering'
 'education and training services (b2b)' 'financial services' 'software']"
CVC Capital Partners (AMS: CVC),Fred Watt,"Founded in 1981, CVC Capital Partners is an asset management firm based in Luxembourg. The firm prefers to invest in the building &amp; construction, business services, chemicals, consumer &amp; retail, energy &amp; utilities, financial services, healthcare, manufacturing, sports, media &amp; entertainment, technology, and transport &amp; infrastructure sectors. The firm prefers to invest in businesses across Europe, the Americas, and Asia. ","Americas, Asia, Europe","Business/Productivity Software, Chemicals and Gases, Construction and Engineering, Energy, Financial Services, Healthcare, Industrial Supplies and Parts, Infrastructure, IT Services, Machinery (B2B), Media and Information Services (B2B), Multimedia and Design Software, Other Business Products and Services, Other Commercial Products, Other Commercial Services, Other Information Technology, Other Software, Other Transportation, Retail, Transportation","Acquisition Financing, Buyout/LBO, Debt - General, Management Buy-In, Management Buyout, PE Growth/Expansion, Recapitalization",PE/Buyout,['americas' 'asia' 'europe'],"['acquisition financing' 'buyout/lbo' 'debt - general' 'management buy-in'
 'management buyout' 'pe growth/expansion' 'recapitalization']","['business/productivity software' 'chemicals and gases'
 'construction and engineering' 'energy' 'financial services' 'healthcare'
 'industrial supplies and parts' 'infrastructure' 'it services'
 'machinery (b2b)' 'media and information services (b2b)'
 'multimedia and design software' 'other business products and services'
 'other commercial products' 'other commercial services'
 'other information technology' 'other software' 'other transportation'
 'retail' 'transportation']"
Khosla Ventures,Samir Kaul,"Founded in 24, Khosla Ventures is a venture capital firm based in Menlo Park, California. The firm seeks to invest in companies operating in the consumer, enterprise, fintech, frontier, medical technology &amp; diagnostics, digital health, digital health, therapeutics, sustainability and impact sectors. This firm is a Registered Investment Adviser (RIA). ","China, Europe, India, Oceania, United States","Agriculture, Commercial Services, Consumer Products and Services (B2C), Diagnostic Equipment, Financial Services, Pharmaceuticals and Biotechnology, Software, Therapeutic Devices","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,['china' 'europe' 'india' 'oceania' 'united states'],['early stage vc' 'later stage vc' 'seed round'],"['agriculture' 'commercial services'
 'consumer products and services (b2c)' 'diagnostic equipment'
 'financial services' 'pharmaceuticals and biotechnology' 'software'
 'therapeutic devices']"
Goldman Sachs Asset Management,Taylor Mefford,"Founded in 1988, Goldman Sachs Asset Management is an asset manager based in New York, New York. The firm prefers global equities, fixed-income, real estate, hedge funds, credit, private equity, and infrastructure. This firm is a Registered Investment Adviser (RIA). ",,"Asset Management, Buildings and Property, Commercial Services, Infrastructure, Investment Banks, Other Business Products and Services, Other Capital Markets/Institutions, Other Consumer Products and Services, Other Financial Services, Other Information Technology, Other Services (B2C Non-Financial), Other Transportation, Private Equity, Real Estate Services (B2C), Restaurants, Hotels and Leisure, Software","Acquisition Financing, Add-on, Buyout/LBO, Corporate, Debt - General, GP Stakes, Merger/Acquisition, Mezzanine, PE Growth/Expansion, Recapitalization, Senior Debt, Secured, Subordinated Debt",Asset Manager,[''],"['acquisition financing' 'add-on' 'buyout/lbo' 'corporate'
 'debt - general' 'gp stakes' 'merger/acquisition' 'mezzanine'
 'pe growth/expansion' 'recapitalization' 'senior debt' 'secured'
 'subordinated debt']","['asset management' 'buildings and property' 'commercial services'
 'infrastructure' 'investment banks'
 'other business products and services'
 'other capital markets/institutions'
 'other consumer products and services' 'other financial services'
 'other information technology' 'other services (b2c non-financial)'
 'other transportation' 'private equity' 'real estate services (b2c)'
 'restaurants' 'hotels and leisure' 'software']"
Altas Partners,Aryella Frommer,"Founded in 212, Altas Partners is a private equity investment firm based in Toronto, Canada. The firm prefers to invest in companies operating in the business services, specialized industrials, financial services, and healthcare sectors based in the North American region. ",North America,0,0,PE/Buyout,['north america'],['0'],['0']
Innovate UK,Mike Biddle,"Founded in 27, Innovate UK is an accelerator firm based in Swindon, United Kingdom. The firm supports businesses across all economic sectors, value chains, and all regions of the United Kingdom. ",United Kingdom,"Other Business Products and Services, Other Consumer Products and Services, Other Energy, Other Healthcare, Other Information Technology, Other Materials, Software","Early Stage VC, Grant, Later Stage VC, PE Growth/Expansion, Seed Round",Accelerator/Incubator,['united kingdom'],"['early stage vc' 'grant' 'later stage vc' 'pe growth/expansion'
 'seed round']","['other business products and services'
 'other consumer products and services' 'other energy' 'other healthcare'
 'other information technology' 'other materials' 'software']"
Bossa Invest,Paulo Tomazela,"Founded in 211, Bossanova Investimentos is a venture capital investment firm based in Sao Paulo, Brazil. The firm seeks to invest in companies operating the software as a service sector. ","Midwest, Northeast, South, South America, Southeast","Commercial Transportation, Food Products, Logistics, Retail, Software","Convertible Debt, Early Stage VC, Later Stage VC, Seed Round",Venture Capital,['midwest' 'northeast' 'south' 'south america' 'southeast'],['convertible debt' 'early stage vc' 'later stage vc' 'seed round'],"['commercial transportation' 'food products' 'logistics' 'retail'
 'software']"
MedTech Innovator,Paul M. Grand,"Founded in 213, MedTech Innovator is an accelerator firm based in Los Angeles, California. The firm supports medical devices, digital health, consumer healthcare, imaging, remote patient monitoring &amp; clinical studies, workflow optimization, and diagnostic companies. ","Asia, Canada, Europe, Israel, Oceania, United States","Biotechnology, Decision/Risk Analysis, Discovery Tools (Healthcare), Drug Discovery, Healthcare Devices and Supplies",Accelerator/Incubator,Accelerator/Incubator,['asia' 'canada' 'europe' 'israel' 'oceania' 'united states'],['accelerator/incubator'],"['biotechnology' 'decision/risk analysis' 'discovery tools (healthcare)'
 'drug discovery' 'healthcare devices and supplies']"
